model,scope,accuracy,balanced_accuracy,fall_precision,fall_recall,fall_f1,non_fall_specificity
full200_nodropout,test20,0.8,0.8,0.8,0.8,0.8000000000000002,0.8
location1_nodropout,test20,0.8,0.8,0.8,0.8,0.8000000000000002,0.8
location2_nodropout,test20,0.7,0.7,0.7,0.7,0.7,0.7
raw_tsstg,test20,0.7,0.7,1.0,0.4,0.5714285714285715,1.0
full200_nodropout,test40,0.85,0.85,0.85,0.85,0.85,0.85
location1_nodropout,test40,0.8,0.8,0.8,0.8,0.8000000000000002,0.8
location2_nodropout,test40,0.75,0.75,0.75,0.75,0.75,0.75
raw_tsstg,test40,0.675,0.675,1.0,0.35,0.5185185185185185,1.0
